>gb:CY079411|Organism:Influenza A virus (A/American coot/Mississippi/09OS615/2009(H10N3))|Strain Name:A/American coot/Mississippi/09OS615/2009|Segment:1|Subtype:H10N3|Host:Avian
>gb:KX960435|Organism:Influenza A virus (A/blue-winged teal/Guatemala/CIP049H108-04/2012(H14N3))|Strain Name:A/blue-winged teal/Guatemala/CIP049H108-04/2012|Segment:1|Subtype:H14N3|Host:Blue-Winged Teal
>gb:CY178550|Organism:Influenza A virus (A/blue-winged teal/Saskatchewan/75/1982(H3N8))|Strain Name:A/blue-winged teal/Saskatchewan/75/1982|Segment:1|Subtype:H3N8|Host:Blue-Winged Teal
>gb:MG957608|Organism:Influenza A virus|Strain Name:A/chicken/Bangladesh/32041/2017|Segment:7|Subtype:mixed|Host:Chicken
>gb:DQ997179|Organism:Influenza A virus (A/chicken/Jiangsu/cz1/2002(H5N1))|Strain Name:A/chicken/Jiangsu/cz1/2002|Segment:7|Subtype:H5N1|Host:Chicken
>gb:HM346516|Organism:Influenza A virus (A/chicken/Karachi/NARC-100/2004(H7N3))|Strain Name:A/chicken/Karachi/NARC-100/2004|Segment:1|Subtype:H7N3|Host:Chicken
>gb:DQ529292|Organism:Influenza A virus (A/chicken/Nigeria/641/2006(H5N1))|Strain Name:A/chicken/NIGERIA/641/2006|Segment:1|Subtype:H5N1|Host:Chicken
>gb:CY126193|Organism:Influenza A virus (A/chicken/Qalubia/CAI20/2008(H5N1))|Strain Name:A/chicken/Qalubia/CAI20/2008|Segment:7|Subtype:H5N1|Host:Chicken
>gb:LC332520|Organism:Influenza A virus (A/duck/Hokkaido/15/2015(H3N8))|Strain Name:A/duck/Hokkaido/15/2015|Segment:1|Subtype:H3N8|Host:Waterfowl
>gb:GQ257447|Organism:Influenza A virus (A/duck/Memphis/546/1974(H11N9))|Strain Name:A/duck/Memphis/546/1974|Segment:1|Subtype:H11N9|Host:Duck
>gb:LC121265|Organism:Influenza A virus (A/duck/Mongolia/127/2015(H4N6))|Strain Name:A/duck/Mongolia/127/2015|Segment:1|Subtype:H4N6|Host:Mallard
>gb:KJ889434|Organism:Influenza A virus (A/duck/Schleswig/21/1979(H1N1))|Strain Name:A/duck/Schleswig/21/1979|Segment:7|Subtype:H1N1|Host:Duck
>gb:KU646914|Organism:Influenza A virus (A/duck/Taiwan/A3400/2015(H5N8))|Strain Name:A/duck/Taiwan/A3400/2015|Segment:1|Subtype:H5N8|Host:Duck
